47292,47963
47309,47659
47328,51510
47353,47675
47414,47779
47448,52906
47492,47754
47522,47821
47627,47814
47628,47852
47642,51802
47695,47824
47716,51924
47730,47907
47741,47849
47753,47858
47759,47853
47787,47880
47796,47859
47829,47896
47838,50324
47847,47898
47856,47902
47878,50900
47879,47913
47904,51292
47909,50064
47910,47959
50065,51135
50066,51547
50152,50817
50153,50757
50166,53426
50264,50901
50410,51068
50435,53569
50729,53870
50908,53831
50909,53902
51066,51786
51067,51787
51134,51785
51548,52249
51605,52576
51606,52372
51704,52405
51836,52575
51893,52475
52079,52740
52110,52829
52118,52832
52145,52739
52192,53747
52328,53089
52337,52907
52406,53427
52574,53131
52622,53181
52629,53313
52975,53635
53182,53868
53263,53869
53265,53832
